"Booking No","Ticket Type","Ticket Count","Ticket Amount","Processing Fee","Ticket Fee","Platform Fee","Agent Fee","Discount Amount","Grand Total","Payment Status","Booking Status","Event Name","Organizer","Venue","Created Date","Stripe Revenue","Eventox Revenue","Organizer Revenue","Refund Amount","Actions"
"EV1748739848135F6K005","Student","1","30","0.75","0.5","0","0","0","31.25","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-01T01:04:08.174Z","1.14","0.11","30","0",""
"EV1748758580099VGME5F","Adults","3","111","2.78","1.5","0","0","0","115.28","paid","confirmed","Onam Mega Show 2025 Live with Rimi Tomy – Ponnonam Night","Dadas New zealand","","2025-06-01T06:16:20.126Z","3.41","0.87","111","0",""
"EV1748763708930R7SJLB","Adults","1","37","0.93","0.5","0","0","0","38.43","paid","confirmed","Onam Mega Show 2025 Live with Rimi Tomy – Ponnonam Night","Dadas New zealand","","2025-06-01T07:41:48.963Z","1.34","0.09","37","0",""
"EV1748771174918ZLCXRL","Couple Entry","2","68","1.7","1","0","0","0","70.7","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","CHRISTCHURCH","2025-06-01T09:46:14.930Z","2.21","0.49","68","0",""
"EV17487734560106AU1PF","Adults","4","120","3","2","0","0","0","125","cancelled","cancelled","Onam Mega Show 2025 Live with Rimi Tomy – Ponnonam Night","Dadas New zealand","","2025-06-01T10:24:16.038Z","3.67","1.33","120","0",""
"EV1748774822600Q39OC7","General Admission","1","35","0.88","0.5","0","0","0","36.38","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","CHRISTCHURCH","2025-06-01T10:47:02.605Z","1.28","0.1","35","0",""
"EV1748775478627QKQ3M2","Couple Entry","2","68","1.7","1","0","0","0","70.7","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-01T10:57:58.642Z","2.21","0.49","68","0",""
"EV1748776995449UHPC6E","Couple Entry","2","68","1.7","1","0","0","0","70.7","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","CHRISTCHURCH","2025-06-01T11:23:15.460Z","2.21","0.49","68","0",""
"EV1748779248176VUBAQH","Student","1","30","0.75","0.5","0","0","0","31.25","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-01T12:00:48.188Z","1.14","0.11","30","0",""
"EV1748859558790CVVGBN","Vip Adults early bird","2","100","2.5","1","0","0","0","103.5","paid","confirmed","Onam Mega Show 2025 Live with Rimi Tomy – Ponnonam Night","Dadas New zealand","","2025-06-02T10:19:18.798Z","3.09","0.41","100","0",""
"EV1748868231410SXEBO8","General Admission","2","0","0","0","0","0","0","0","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-02T12:43:51.422Z","0","0","0","0",""
"EV1748914204540E2Z2M8","General Admission","3","105","2.63","1.5","0","0","105","4.13","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-03T01:30:04.547Z","0.41","3.72","0","0",""
"EV17489245055636I71H5","Couple Entry","2","68","1.7","1","0","0","0","70.7","cancelled","cancelled","Naadan Vibe NZ","Karnival Lights and Shelz Media
","CHRISTCHURCH","2025-06-03T04:21:45.575Z","2.21","0.49","68","0",""
"EV17489248953708V3EWQ","Student","1","30","0.75","0.5","0","0","0","31.25","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-03T04:28:15.381Z","1.14","0.11","30","0",""
"EV1748929692842LL6ATH","General Admission","3","105","2.63","1.5","0","0","0","109.13","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-03T05:48:12.853Z","3.25","0.88","105","0",""
"EV1748938312054FKZQ5N","Family Of 4 -(2 adults and 2 kids)","6","189","4.73","3","0","0","0","196.73","paid","confirmed","Auckland Malayali Samajam Onaghosham 2025","Auckland Malayali Samajam","","2025-06-03T08:11:52.089Z","5.61","2.12","189","0",""
"EV17489793568711OWEMA","Couple Entry","4","128","3.2","2","0","0","0","133.2","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","CHRISTCHURCH","2025-06-03T19:35:56.898Z","3.9","1.3","128","0",""
"EV1749012773902GUDVM8","Students","2","60","1.5","1","0","0","0","62.5","paid","confirmed","Onam Mega Show 2025 Live with Rimi Tomy – Ponnonam Night","Dadas New zealand","","2025-06-04T04:52:53.936Z","1.99","0.51","60","0",""
"EV1749013878137H41J3O","Vip Adults early bird","4","160","4","2","0","0","0","166","cancelled","cancelled","Onam Mega Show 2025 Live with Rimi Tomy – Ponnonam Night","Dadas New zealand","","2025-06-04T05:11:18.177Z","4.78","1.22","160","0",""
"EV1749017554334JV0FXO","General Admission","2","65","1.63","1","0","0","0","67.63","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-04T06:12:34.362Z","2.13","0.5","65","0",""
"EV17490175828975JXBLO","Vip Adults early bird","4","160","4","2","0","0","0","166","paid","confirmed","Onam Mega Show 2025 Live with Rimi Tomy – Ponnonam Night","Dadas New zealand","","2025-06-04T06:13:02.924Z","4.78","1.22","160","0",""
"EV174901875411280WZXK","Student","1","30","0.75","0.5","0","0","0","31.25","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-04T06:32:34.120Z","1.14","0.11","30","0",""
"EV1749027562956X0IEN7","General Admission","2","70","1.75","1","0","0","0","72.75","failed","failed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","CHRISTCHURCH","2025-06-04T08:59:22.968Z","2.26","0.49","70","0",""
"EV1749038126494AUMXUC","Student","2","65","1.63","1","0","0","0","67.63","paid","confirmed","Naadan Vibe NZ","Karnival Lights and Shelz Media
","AUCKLAND","2025-06-04T11:55:26.506Z","2.13","0.5","65","0",""
