Booking No,Ticket Type,Ticket Count,Ticket Amount,Processing Fee,Ticket Fee,Platform Fee,Agent Fee,Discount Amount,Grand Total,Payment Status,Booking Status,Event Name,Organizer,Venue,Created Date,Stripe Revenue,Eventox Revenue,Organizer Revenue,Refund Amount,Actions,Year,Month,Day,Weekday,Net Revenue,Revenue Per Ticket,Total Fees,Fee Percentage,Refund Flag,Discount Used,Booking Size,Revenue Category
EV1748739848135F6K005,Student,1,30.0,0.75,0.5,0,0,0.0,31.25,paid,confirmed,Naadan Vibe NZ,"Karnival Lights and Shelz Media
",AUCKLAND,2025-06-01 01:04:08.174000+00:00,1.14,0.11,30.0,0.0,,2025,6,1,Sunday,31.25,31.25,1.25,4.0,0,0,Small,Low
EV1748758580099VGME5F,Adults,3,111.0,2.78,1.5,0,0,0.0,115.28,paid,confirmed,Onam Mega Show 2025 Live with Rimi Tomy – Ponnonam Night,Dadas New zealand,,2025-06-01 06:16:20.126000+00:00,3.41,0.87,111.0,0.0,,2025,6,1,Sunday,115.28,38.42666666666667,4.279999999999999,3.712699514226231,0,0,Medium,High
EV1748763708930R7SJLB,Adults,1,37.0,0.93,0.5,0,0,0.0,38.43,paid,confirmed,Onam Mega Show 2025 Live with Rimi Tomy – Ponnonam Night,Dadas New zealand,,2025-06-01 07:41:48.963000+00:00,1.34,0.09,37.0,0.0,,2025,6,1,Sunday,38.43,38.43,1.4300000000000002,3.721051262034869,0,0,Small,Medium
EV1748771174918ZLCXRL,Couple Entry,2,68.0,1.7,1.0,0,0,0.0,70.7,paid,confirmed,Naadan Vibe NZ,"Karnival Lights and Shelz Media
",CHRISTCHURCH,2025-06-01 09:46:14.930000+00:00,2.21,0.49,68.0,0.0,,2025,6,1,Sunday,70.7,35.35,2.7,3.818953323903819,0,0,Small,High
EV17487734560106AU1PF,Adults,4,120.0,3.0,2.0,0,0,0.0,125.0,cancelled,cancelled,Onam Mega Show 2025 Live with Rimi Tomy – Ponnonam Night,Dadas New zealand,,2025-06-01 10:24:16.038000+00:00,3.67,1.33,120.0,0.0,,2025,6,1,Sunday,125.0,31.25,5.0,4.0,0,0,Medium,High
EV1748774822600Q39OC7,General Admission,1,35.0,0.88,0.5,0,0,0.0,36.38,paid,confirmed,Naadan Vibe NZ,"Karnival Lights and Shelz Media
",CHRISTCHURCH,2025-06-01 10:47:02.605000+00:00,1.28,0.1,35.0,0.0,,2025,6,1,Sunday,36.38,36.38,1.38,3.793293018141836,0,0,Small,Medium
EV1748775478627QKQ3M2,Couple Entry,2,68.0,1.7,1.0,0,0,0.0,70.7,paid,confirmed,Naadan Vibe NZ,"Karnival Lights and Shelz Media
",AUCKLAND,2025-06-01 10:57:58.642000+00:00,2.21,0.49,68.0,0.0,,2025,6,1,Sunday,70.7,35.35,2.7,3.818953323903819,0,0,Small,High
EV1748776995449UHPC6E,Couple Entry,2,68.0,1.7,1.0,0,0,0.0,70.7,paid,confirmed,Naadan Vibe NZ,"Karnival Lights and Shelz Media
",CHRISTCHURCH,2025-06-01 11:23:15.460000+00:00,2.21,0.49,68.0,0.0,,2025,6,1,Sunday,70.7,35.35,2.7,3.818953323903819,0,0,Small,High
EV1748779248176VUBAQH,Student,1,30.0,0.75,0.5,0,0,0.0,31.25,paid,confirmed,Naadan Vibe NZ,"Karnival Lights and Shelz Media
",AUCKLAND,2025-06-01 12:00:48.188000+00:00,1.14,0.11,30.0,0.0,,2025,6,1,Sunday,31.25,31.25,1.25,4.0,0,0,Small,Low
EV1748859558790CVVGBN,Vip Adults early bird,2,100.0,2.5,1.0,0,0,0.0,103.5,paid,confirmed,Onam Mega Show 2025 Live with Rimi Tomy – Ponnonam Night,Dadas New zealand,,2025-06-02 10:19:18.798000+00:00,3.09,0.41,100.0,0.0,,2025,6,2,Monday,103.5,51.75,3.5,3.3816425120772946,0,0,Small,High
EV1748868231410SXEBO8,General Admission,2,0.0,0.0,0.0,0,0,0.0,0.0,paid,confirmed,Naadan Vibe NZ,"Karnival Lights and Shelz Media
",AUCKLAND,2025-06-02 12:43:51.422000+00:00,0.0,0.0,0.0,0.0,,2025,6,2,Monday,0.0,0.0,0.0,0.0,0,0,Small,Low
EV1748914204540E2Z2M8,General Admission,3,105.0,2.63,1.5,0,0,105.0,4.13,paid,confirmed,Naadan Vibe NZ,"Karnival Lights and Shelz Media
",AUCKLAND,2025-06-03 01:30:04.547000+00:00,0.41,3.72,0.0,0.0,,2025,6,3,Tuesday,4.13,1.3766666666666667,4.13,100.0,0,1,Medium,Low
EV17489245055636I71H5,Couple Entry,2,68.0,1.7,1.0,0,0,0.0,70.7,cancelled,cancelled,Naadan Vibe NZ,"Karnival Lights and Shelz Media
",CHRISTCHURCH,2025-06-03 04:21:45.575000+00:00,2.21,0.49,68.0,0.0,,2025,6,3,Tuesday,70.7,35.35,2.7,3.818953323903819,0,0,Small,High
EV17489248953708V3EWQ,Student,1,30.0,0.75,0.5,0,0,0.0,31.25,paid,confirmed,Naadan Vibe NZ,"Karnival Lights and Shelz Media
",AUCKLAND,2025-06-03 04:28:15.381000+00:00,1.14,0.11,30.0,0.0,,2025,6,3,Tuesday,31.25,31.25,1.25,4.0,0,0,Small,Low
EV1748929692842LL6ATH,General Admission,3,105.0,2.63,1.5,0,0,0.0,109.13,paid,confirmed,Naadan Vibe NZ,"Karnival Lights and Shelz Media
",AUCKLAND,2025-06-03 05:48:12.853000+00:00,3.25,0.88,105.0,0.0,,2025,6,3,Tuesday,109.13,36.376666666666665,4.13,3.784477228992944,0,0,Medium,High
EV1748938312054FKZQ5N,Family Of 4 -(2 adults and 2 kids),6,189.0,4.73,3.0,0,0,0.0,196.73,paid,confirmed,Auckland Malayali Samajam Onaghosham 2025,Auckland Malayali Samajam,,2025-06-03 08:11:52.089000+00:00,5.61,2.12,189.0,0.0,,2025,6,3,Tuesday,196.73,32.788333333333334,7.73,3.929243125095309,0,0,Large,Very High
EV17489793568711OWEMA,Couple Entry,4,128.0,3.2,2.0,0,0,0.0,133.2,paid,confirmed,Naadan Vibe NZ,"Karnival Lights and Shelz Media
",CHRISTCHURCH,2025-06-03 19:35:56.898000+00:00,3.9,1.3,128.0,0.0,,2025,6,3,Tuesday,133.2,33.3,5.2,3.903903903903904,0,0,Medium,Very High
EV1749012773902GUDVM8,Students,2,60.0,1.5,1.0,0,0,0.0,62.5,paid,confirmed,Onam Mega Show 2025 Live with Rimi Tomy – Ponnonam Night,Dadas New zealand,,2025-06-04 04:52:53.936000+00:00,1.99,0.51,60.0,0.0,,2025,6,4,Wednesday,62.5,31.25,2.5,4.0,0,0,Small,Medium
EV1749013878137H41J3O,Vip Adults early bird,4,160.0,4.0,2.0,0,0,0.0,166.0,cancelled,cancelled,Onam Mega Show 2025 Live with Rimi Tomy – Ponnonam Night,Dadas New zealand,,2025-06-04 05:11:18.177000+00:00,4.78,1.22,160.0,0.0,,2025,6,4,Wednesday,166.0,41.5,6.0,3.614457831325301,0,0,Medium,Very High
EV1749017554334JV0FXO,General Admission,2,65.0,1.63,1.0,0,0,0.0,67.63,paid,confirmed,Naadan Vibe NZ,"Karnival Lights and Shelz Media
",AUCKLAND,2025-06-04 06:12:34.362000+00:00,2.13,0.5,65.0,0.0,,2025,6,4,Wednesday,67.63,33.815,2.63,3.8888067425698654,0,0,Small,High
EV17490175828975JXBLO,Vip Adults early bird,4,160.0,4.0,2.0,0,0,0.0,166.0,paid,confirmed,Onam Mega Show 2025 Live with Rimi Tomy – Ponnonam Night,Dadas New zealand,,2025-06-04 06:13:02.924000+00:00,4.78,1.22,160.0,0.0,,2025,6,4,Wednesday,166.0,41.5,6.0,3.614457831325301,0,0,Medium,Very High
EV174901875411280WZXK,Student,1,30.0,0.75,0.5,0,0,0.0,31.25,paid,confirmed,Naadan Vibe NZ,"Karnival Lights and Shelz Media
",AUCKLAND,2025-06-04 06:32:34.120000+00:00,1.14,0.11,30.0,0.0,,2025,6,4,Wednesday,31.25,31.25,1.25,4.0,0,0,Small,Low
EV1749027562956X0IEN7,General Admission,2,70.0,1.75,1.0,0,0,0.0,72.75,failed,failed,Naadan Vibe NZ,"Karnival Lights and Shelz Media
",CHRISTCHURCH,2025-06-04 08:59:22.968000+00:00,2.26,0.49,70.0,0.0,,2025,6,4,Wednesday,72.75,36.375,2.75,3.7800687285223367,0,0,Small,High
EV1749038126494AUMXUC,Student,2,65.0,1.63,1.0,0,0,0.0,67.63,paid,confirmed,Naadan Vibe NZ,"Karnival Lights and Shelz Media
",AUCKLAND,2025-06-04 11:55:26.506000+00:00,2.13,0.5,65.0,0.0,,2025,6,4,Wednesday,67.63,33.815,2.63,3.8888067425698654,0,0,Small,High
EV1749102455972TNHN1G,Couple Entry,2,68.0,1.7,1.0,0,0,0.0,70.7,failed,failed,Naadan Vibe NZ,"Karnival Lights and Shelz Media
",CHRISTCHURCH,2025-06-05 05:47:36.009000+00:00,2.21,0.49,68.0,0.0,,2025,6,5,Thursday,70.7,35.35,2.7,3.818953323903819,0,0,Small,High
EV1749102642349EHLKPS,Couple Entry,2,68.0,1.7,1.0,0,0,0.0,70.7,paid,confirmed,Naadan Vibe NZ,"Karnival Lights and Shelz Media
",CHRISTCHURCH,2025-06-05 05:50:42.367000+00:00,2.21,0.49,68.0,0.0,,2025,6,5,Thursday,70.7,35.35,2.7,3.818953323903819,0,0,Small,High
EV1749121241303O68Z6J,Student,1,30.0,0.75,0.5,0,0,4.5,26.75,paid,confirmed,Naadan Vibe NZ,"Karnival Lights and Shelz Media
",AUCKLAND,2025-06-05 11:00:41.328000+00:00,1.02,0.23,25.5,0.0,,2025,6,5,Thursday,26.75,26.75,1.25,4.672897196261682,0,1,Small,Low
EV1749165210050C6FM43,Adults,1,37.0,0.93,0.5,0,0,0.0,38.43,paid,confirmed,Onam Mega Show 2025 Live with Rimi Tomy – Ponnonam Night,Dadas New zealand,,2025-06-05 23:13:30.080000+00:00,1.34,0.09,37.0,0.0,,2025,6,5,Thursday,38.43,38.43,1.4300000000000002,3.721051262034869,0,0,Small,Medium
EV1749166456648C5QZOD,Couple Entry,2,68.0,1.7,1.0,0,0,0.0,70.7,Unknown,Unknown,Naadan Vibe NZ,"Karnival Lights and Shelz Media
",CHRISTCHURCH,2025-06-05 23:34:16.667000+00:00,2.21,0.49,68.0,0.0,,2025,6,5,Thursday,70.7,35.35,2.7,3.818953323903819,0,0,Small,High
EV1749166465642HFRMAA,Couple Entry,2,68.0,1.7,1.0,0,0,0.0,70.7,cancelled,cancelled,Naadan Vibe NZ,"Karnival Lights and Shelz Media
",CHRISTCHURCH,2025-06-05 23:34:25.665000+00:00,2.21,0.49,68.0,0.0,,2025,6,5,Thursday,70.7,35.35,2.7,3.818953323903819,0,0,Small,High
EV1749168699155YTD9RH,Vip Adults early bird,3,137.0,3.43,1.5,0,0,0.0,141.93,paid,confirmed,Onam Mega Show 2025 Live with Rimi Tomy – Ponnonam Night,Dadas New zealand,,2025-06-06 00:11:39.164000+00:00,4.13,0.8,137.0,0.0,,2025,6,6,Friday,141.93,47.31,4.93,3.473543295990981,0,0,Medium,Very High
EV1749169979880KIRMEO,Family Of 4 -(2 adults and 2 kids),4,140.0,3.5,2.0,0,0,0.0,145.5,cancelled,cancelled,Auckland Malayali Samajam Onaghosham 2025,Auckland Malayali Samajam,,2025-06-06 00:32:59.916000+00:00,4.23,1.27,140.0,0.0,,2025,6,6,Friday,145.5,36.375,5.5,3.7800687285223367,0,0,Medium,Very High
EV1749176758081J83J10,Family Of 4 -(2 adults and 2 kids),4,140.0,3.5,2.0,0,0,0.0,145.5,paid,confirmed,Auckland Malayali Samajam Onaghosham 2025,Auckland Malayali Samajam,,2025-06-06 02:25:58.111000+00:00,4.23,1.27,140.0,0.0,,2025,6,6,Friday,145.5,36.375,5.5,3.7800687285223367,0,0,Medium,Very High
EV17491776468866BD2HM,Students,1,23.0,0.58,0.5,0,0,0.0,24.08,paid,confirmed,Onam Mega Show 2025 Live with Rimi Tomy – Ponnonam Night,Dadas New zealand,,2025-06-06 02:40:46.919000+00:00,0.95,0.13,23.0,0.0,,2025,6,6,Friday,24.08,24.08,1.08,4.485049833887044,0,0,Small,Low
EV1749196068033U3IZQN,Individual Child Pass (below 5),4,150.0,3.75,2.0,0,0,0.0,155.75,paid,confirmed,Auckland Malayali Samajam Onaghosham 2025,Auckland Malayali Samajam,,2025-06-06 07:47:48.065000+00:00,4.51,1.24,150.0,0.0,,2025,6,6,Friday,155.75,38.9375,5.75,3.6918138041733553,0,0,Medium,Very High
EV1749199361824IDYWDA,Student,1,30.0,0.75,0.5,0,0,4.5,26.75,paid,confirmed,Naadan Vibe NZ,"Karnival Lights and Shelz Media
",AUCKLAND,2025-06-06 08:42:41.834000+00:00,1.02,0.23,25.5,0.0,,2025,6,6,Friday,26.75,26.75,1.25,4.672897196261682,0,1,Small,Low
EV1749207884551EFRZU7,Individual Member Pass,5,221.0,5.53,2.5,0,0,0.0,229.03,paid,confirmed,Auckland Malayali Samajam Onaghosham 2025,Auckland Malayali Samajam,,2025-06-06 11:04:44.582000+00:00,6.48,1.55,221.0,0.0,,2025,6,6,Friday,229.03,45.806,8.030000000000001,3.5060909051216003,0,0,Medium,Very High
EV1749210234589NY48TY,Student,13,390.0,9.75,6.5,0,0,0.0,406.25,paid,confirmed,Naadan Vibe NZ,"Karnival Lights and Shelz Media
",AUCKLAND,2025-06-06 11:43:54.604000+00:00,11.27,4.98,390.0,0.0,,2025,6,6,Friday,406.25,31.25,16.25,4.0,0,0,VIP,Very High
EV1749217689114WJHHKG,Student,1,30.0,0.75,0.5,0,0,4.5,26.75,paid,confirmed,Naadan Vibe NZ,"Karnival Lights and Shelz Media
",AUCKLAND,2025-06-06 13:48:09.124000+00:00,1.02,0.23,25.5,0.0,,2025,6,6,Friday,26.75,26.75,1.25,4.672897196261682,0,1,Small,Low
EV1749218581948KO50UK,Students,2,46.0,1.15,1.0,0,0,0.0,48.15,cancelled,cancelled,Onam Mega Show 2025 Live with Rimi Tomy – Ponnonam Night,Dadas New zealand,,2025-06-06 14:03:01.971000+00:00,1.6,0.55,46.0,0.0,,2025,6,6,Friday,48.15,24.075,2.15,4.46521287642783,0,0,Small,Medium
EV174922587366754JK81,Individual Pass,1,75.0,1.88,0.5,0,0,0.0,77.38,paid,confirmed,Auckland Malayali Samajam Onaghosham 2025,Auckland Malayali Samajam,,2025-06-06 16:04:33.705000+00:00,2.39,-0.01,75.0,0.0,,2025,6,6,Friday,77.38,77.38,2.38,3.0757301628327736,0,0,Small,High
EV17492367778305JDBD3,Student,1,30.0,0.75,0.5,0,0,4.5,26.75,cancelled,cancelled,Naadan Vibe NZ,"Karnival Lights and Shelz Media
",AUCKLAND,2025-06-06 19:06:17.839000+00:00,1.02,0.23,25.5,0.0,,2025,6,6,Friday,26.75,26.75,1.25,4.672897196261682,0,1,Small,Low
EV1749248345357ZY8NPL,Individual Member Pass,4,196.0,4.9,2.0,0,0,0.0,202.9,paid,confirmed,Auckland Malayali Samajam Onaghosham 2025,Auckland Malayali Samajam,,2025-06-06 22:19:05.391000+00:00,5.78,1.12,196.0,0.0,,2025,6,6,Friday,202.9,50.725,6.9,3.4006899950714637,0,0,Medium,Very High
EV1749251681152WASN29,Student,1,30.0,0.75,0.5,0,0,4.5,26.75,failed,failed,Naadan Vibe NZ,"Karnival Lights and Shelz Media
",AUCKLAND,2025-06-06 23:14:41.162000+00:00,1.02,0.23,25.5,0.0,,2025,6,6,Friday,26.75,26.75,1.25,4.672897196261682,0,1,Small,Low
EV1749251902655XILIVK,Student,1,30.0,0.75,0.5,0,0,4.5,26.75,paid,confirmed,Naadan Vibe NZ,"Karnival Lights and Shelz Media
",AUCKLAND,2025-06-06 23:18:22.665000+00:00,1.02,0.23,25.5,0.0,,2025,6,6,Friday,26.75,26.75,1.25,4.672897196261682,0,1,Small,Low
EV1749255050442BDPD22,Family Of 4 -(2 adults and 2 kids),11,378.0,9.45,5.5,0,0,0.0,392.95,cancelled,cancelled,Auckland Malayali Samajam Onaghosham 2025,Auckland Malayali Samajam,,2025-06-07 00:10:50.475000+00:00,10.91,4.04,378.0,0.0,,2025,6,7,Saturday,392.95,35.72272727272727,14.95,3.80455528693218,0,0,VIP,Very High
EV1749255264208H7MQMF,Family Of 4 -(2 adults and 2 kids),11,378.0,9.45,5.5,0,0,0.0,392.95,paid,confirmed,Auckland Malayali Samajam Onaghosham 2025,Auckland Malayali Samajam,,2025-06-07 00:14:24.237000+00:00,10.91,4.04,378.0,0.0,,2025,6,7,Saturday,392.95,35.72272727272727,14.95,3.80455528693218,0,0,VIP,Very High
EV1749265065955HA2MVI,Student,3,90.0,2.25,1.5,0,0,13.5,80.25,paid,confirmed,Naadan Vibe NZ,"Karnival Lights and Shelz Media
",AUCKLAND,2025-06-07 02:57:45.988000+00:00,2.47,1.28,76.5,0.0,,2025,6,7,Saturday,80.25,26.75,3.75,4.672897196261682,0,1,Medium,High
EV1749265303130NYJG1Q,Student,2,60.0,1.5,1.0,0,0,9.0,53.5,paid,confirmed,Naadan Vibe NZ,"Karnival Lights and Shelz Media
",AUCKLAND,2025-06-07 03:01:43.139000+00:00,1.74,0.76,51.0,0.0,,2025,6,7,Saturday,53.5,26.75,2.5,4.672897196261682,0,1,Small,Medium
EV1749265978011FWPH9C,Student,7,210.0,5.25,3.5,0,0,31.5,187.25,paid,confirmed,Naadan Vibe NZ,"Karnival Lights and Shelz Media
",AUCKLAND,2025-06-07 03:12:58.019000+00:00,5.36,3.39,178.5,0.0,,2025,6,7,Saturday,187.25,26.75,8.75,4.672897196261682,0,1,Large,Very High
EV1749268095426ZNAW0I,Individual Member Pass,4,123.0,3.08,2.0,0,0,0.0,128.08,paid,confirmed,Auckland Malayali Samajam Onaghosham 2025,Auckland Malayali Samajam,,2025-06-07 03:48:15.460000+00:00,3.76,1.32,123.0,0.0,,2025,6,7,Saturday,128.08,32.02,5.08,3.96627108057464,0,0,Medium,Very High
EV17492686751486N37JF,Family Of 4 -(2 adults and 2 kids),4,140.0,3.5,2.0,0,0,0.0,145.5,paid,confirmed,Auckland Malayali Samajam Onaghosham 2025,Auckland Malayali Samajam,,2025-06-07 03:57:55.181000+00:00,4.23,1.27,140.0,0.0,,2025,6,7,Saturday,145.5,36.375,5.5,3.7800687285223367,0,0,Medium,Very High
EV1749268993265D15N44,Family Of 4 -(2 adults and 2 kids),4,200.0,5.0,2.0,0,0,0.0,207.0,paid,confirmed,Auckland Malayali Samajam Onaghosham 2025,Auckland Malayali Samajam,,2025-06-07 04:03:13.295000+00:00,5.89,1.11,200.0,0.0,,2025,6,7,Saturday,207.0,51.75,7.0,3.3816425120772946,0,0,Medium,Very High
EV17492735993403FKPNM,Family Of 4 -(2 adults and 2 kids),4,110.0,2.75,2.0,0,0,0.0,114.75,cancelled,cancelled,Auckland Malayali Samajam Onaghosham 2025,Auckland Malayali Samajam,,2025-06-07 05:19:59.376000+00:00,3.4,1.35,110.0,0.0,,2025,6,7,Saturday,114.75,28.6875,4.75,4.139433551198257,0,0,Medium,High
EV17492771992664E2STO,General Admission,1,35.0,0.88,0.5,0,0,0.0,36.38,paid,confirmed,Naadan Vibe NZ,"Karnival Lights and Shelz Media
",AUCKLAND,2025-06-07 06:19:59.278000+00:00,1.28,0.1,35.0,0.0,,2025,6,7,Saturday,36.38,36.38,1.38,3.793293018141836,0,0,Small,Medium
EV1749286168042T2W68C,Student,1,30.0,0.75,0.5,0,0,4.5,26.75,paid,confirmed,Naadan Vibe NZ,"Karnival Lights and Shelz Media
",AUCKLAND,2025-06-07 08:49:28.070000+00:00,1.02,0.23,25.5,0.0,,2025,6,7,Saturday,26.75,26.75,1.25,4.672897196261682,0,1,Small,Low
EV1749288037680SW2O2L,General Admission,1,35.0,0.88,0.5,0,0,0.0,36.38,cancelled,cancelled,Naadan Vibe NZ,"Karnival Lights and Shelz Media
",CHRISTCHURCH,2025-06-07 09:20:37.710000+00:00,1.28,0.1,35.0,0.0,,2025,6,7,Saturday,36.38,36.38,1.38,3.793293018141836,0,0,Small,Medium
EV1749292093003R6AIKG,Student,1,30.0,0.75,0.5,0,0,4.5,26.75,paid,confirmed,Naadan Vibe NZ,"Karnival Lights and Shelz Media
",AUCKLAND,2025-06-07 10:28:13.037000+00:00,1.02,0.23,25.5,0.0,,2025,6,7,Saturday,26.75,26.75,1.25,4.672897196261682,0,1,Small,Low
EV17492922506574H24FT,Student,3,90.0,2.25,1.5,0,0,13.5,80.25,paid,confirmed,Naadan Vibe NZ,"Karnival Lights and Shelz Media
",AUCKLAND,2025-06-07 10:30:50.687000+00:00,2.47,1.28,76.5,0.0,,2025,6,7,Saturday,80.25,26.75,3.75,4.672897196261682,0,1,Medium,High
EV1749292916410N5M2XX,Student,1,30.0,0.75,0.5,0,0,4.5,26.75,paid,confirmed,Naadan Vibe NZ,"Karnival Lights and Shelz Media
",AUCKLAND,2025-06-07 10:41:56.425000+00:00,1.02,0.23,25.5,0.0,,2025,6,7,Saturday,26.75,26.75,1.25,4.672897196261682,0,1,Small,Low
EV1749304456873ERFKPB,Student,1,30.0,0.75,0.5,0,0,0.0,31.25,paid,confirmed,Naadan Vibe NZ,"Karnival Lights and Shelz Media
",AUCKLAND,2025-06-07 13:54:16.879000+00:00,1.14,0.11,30.0,0.0,,2025,6,7,Saturday,31.25,31.25,1.25,4.0,0,0,Small,Low
EV17493339611730WCD57,General Admission,2,70.0,1.75,1.0,0,0,0.0,72.75,paid,confirmed,Naadan Vibe NZ,"Karnival Lights and Shelz Media
",AUCKLAND,2025-06-07 22:06:01.213000+00:00,2.26,0.49,70.0,0.0,,2025,6,7,Saturday,72.75,36.375,2.75,3.7800687285223367,0,0,Small,High
EV1749341871032211O46,Family Of 4 -(2 adults and 2 kids),4,110.0,2.75,2.0,0,0,0.0,114.75,cancelled,cancelled,Auckland Malayali Samajam Onaghosham 2025,Auckland Malayali Samajam,,2025-06-08 00:17:51.066000+00:00,3.4,1.35,110.0,0.0,,2025,6,8,Sunday,114.75,28.6875,4.75,4.139433551198257,0,0,Medium,High
EV1749358896964W8KQFK,Student,1,30.0,0.75,0.5,0,0,4.5,26.75,failed,failed,Naadan Vibe NZ,"Karnival Lights and Shelz Media
",AUCKLAND,2025-06-08 05:01:37+00:00,1.02,0.23,25.5,0.0,,2025,6,8,Sunday,26.75,26.75,1.25,4.672897196261682,0,1,Small,Low
EV1749360094813B5QCWS,Family Of 4 -(2 adults and 2 kids),12,330.0,8.25,6.0,0,0,0.0,344.25,cancelled,cancelled,Auckland Malayali Samajam Onaghosham 2025,Auckland Malayali Samajam,,2025-06-08 05:21:34.820000+00:00,9.59,4.66,330.0,0.0,,2025,6,8,Sunday,344.25,28.6875,14.25,4.139433551198257,0,0,VIP,Very High
EV1749360172879FA45WX,Family Of 4 -(2 adults and 2 kids),14,518.0,12.95,7.0,0,0,0.0,537.95,paid,confirmed,Auckland Malayali Samajam Onaghosham 2025,Auckland Malayali Samajam,,2025-06-08 05:22:52.907000+00:00,14.82,5.13,518.0,0.0,,2025,6,8,Sunday,537.95,38.425000000000004,19.95,3.7085230969420944,0,0,VIP,Very High
EV1749360455327ODYGR1,Student,1,30.0,0.75,0.5,0,0,4.5,26.75,paid,confirmed,Naadan Vibe NZ,"Karnival Lights and Shelz Media
",AUCKLAND,2025-06-08 05:27:35.335000+00:00,1.02,0.23,25.5,0.0,,2025,6,8,Sunday,26.75,26.75,1.25,4.672897196261682,0,1,Small,Low
EV174936047110756SLBB,Family Of 4 -(2 adults and 2 kids),11,290.0,7.25,5.5,0,0,0.0,302.75,paid,confirmed,Auckland Malayali Samajam Onaghosham 2025,Auckland Malayali Samajam,,2025-06-08 05:27:51.114000+00:00,8.47,4.28,290.0,0.0,,2025,6,8,Sunday,302.75,27.522727272727273,12.75,4.211395540875309,0,0,VIP,Very High
EV17493612659287LJVHK,Family Of 4 -(2 adults and 2 kids),4,110.0,2.75,2.0,0,0,0.0,114.75,paid,confirmed,Auckland Malayali Samajam Onaghosham 2025,Auckland Malayali Samajam,,2025-06-08 05:41:05.934000+00:00,3.4,1.35,110.0,0.0,,2025,6,8,Sunday,114.75,28.6875,4.75,4.139433551198257,0,0,Medium,High
EV17493645975944N5DUP,Individual Child Pass (below 5),5,49.0,1.23,2.5,0,0,0.0,52.73,paid,confirmed,Auckland Malayali Samajam Onaghosham 2025,Auckland Malayali Samajam,,2025-06-08 06:36:37.606000+00:00,1.72,2.01,49.0,0.0,,2025,6,8,Sunday,52.73,10.546,3.73,7.073772046273469,0,0,Medium,Medium
EV17493649052781IN2N8,Individual Member Pass,3,123.0,3.08,1.5,0,0,0.0,127.58,paid,confirmed,Auckland Malayali Samajam Onaghosham 2025,Auckland Malayali Samajam,,2025-06-08 06:41:45.318000+00:00,3.74,0.84,123.0,0.0,,2025,6,8,Sunday,127.58,42.526666666666664,4.58,3.5899043737262897,0,0,Medium,Very High
EV1749365260516W9IQLX,Vip Adults early bird,3,130.0,3.25,1.5,0,0,0.0,134.75,failed,failed,Onam Mega Show 2025 Live with Rimi Tomy – Ponnonam Night,Dadas New zealand,,2025-06-08 06:47:40.553000+00:00,3.94,0.81,130.0,0.0,,2025,6,8,Sunday,134.75,44.916666666666664,4.75,3.525046382189239,0,0,Medium,Very High
EV17493655126459IG63D,Vip Adults early bird,3,150.0,3.75,1.5,0,0,0.0,155.25,paid,confirmed,Onam Mega Show 2025 Live with Rimi Tomy – Ponnonam Night,Dadas New zealand,,2025-06-08 06:51:52.650000+00:00,4.49,0.76,150.0,0.0,,2025,6,8,Sunday,155.25,51.75,5.25,3.3816425120772946,0,0,Medium,Very High
EV1749368324150U5265N,Family Of 4 -(2 adults and 2 kids),4,140.0,3.5,2.0,0,0,0.0,145.5,paid,confirmed,Auckland Malayali Samajam Onaghosham 2025,Auckland Malayali Samajam,,2025-06-08 07:38:44.180000+00:00,4.23,1.27,140.0,0.0,,2025,6,8,Sunday,145.5,36.375,5.5,3.7800687285223367,0,0,Medium,Very High
EV1749368468106WZRPQ3,Individual Member Pass,3,123.0,3.08,1.5,0,0,0.0,127.58,paid,confirmed,Auckland Malayali Samajam Onaghosham 2025,Auckland Malayali Samajam,,2025-06-08 07:41:08.134000+00:00,3.74,0.84,123.0,0.0,,2025,6,8,Sunday,127.58,42.526666666666664,4.58,3.5899043737262897,0,0,Medium,Very High
